aqi,pollution_tolerance,water_need,growth_rate,maintenance,canopy_score,native_score,temperature,humidity,rainfall,urban_density,tree_count,species_mix_ratio,pm25_reduction
1,5,2,4,2,4,5,31,62,85,0.72,100,0.20,3.10
1,4,3,3,2,4,5,29,58,78,0.64,100,0.20,2.70
1,3,4,3,3,3,4,30,60,75,0.68,100,0.20,2.10
1,2,4,3,3,2,3,32,72,115,0.90,100,0.20,1.50
1,5,1,4,2,3,4,33,70,65,0.80,100,0.20,2.85
2,5,2,4,2,4,5,31,62,85,0.72,100,0.25,3.50
2,5,3,3,3,5,5,32,66,92,0.78,100,0.25,3.90
2,4,3,3,3,4,5,28,58,75,0.64,100,0.25,3.20
2,3,4,3,3,3,4,30,61,80,0.67,100,0.25,2.55
2,5,1,4,1,3,4,33,68,60,0.82,100,0.25,3.20
3,5,2,4,2,4,5,31,62,85,0.72,100,0.30,4.20
3,5,3,3,3,5,5,32,66,92,0.78,100,0.30,4.50
3,5,1,4,2,3,4,33,68,62,0.80,100,0.30,4.00
3,4,3,3,3,4,5,29,57,74,0.62,100,0.30,3.65
3,3,4,3,3,3,4,30,61,81,0.67,100,0.30,2.95
4,5,2,4,2,4,5,31,62,85,0.72,100,0.35,4.85
4,5,3,3,3,5,5,32,66,92,0.78,100,0.35,5.15
4,5,1,4,2,3,4,33,68,62,0.80,100,0.35,4.65
4,4,3,3,3,4,5,29,57,74,0.62,100,0.35,4.20
4,3,4,3,3,3,4,30,61,81,0.67,100,0.35,3.35
5,5,2,4,2,4,5,31,62,85,0.72,100,0.40,5.55
5,5,3,3,3,5,5,32,66,92,0.78,100,0.40,5.90
5,5,1,4,1,3,4,33,68,60,0.82,100,0.40,5.35
5,4,3,3,3,4,5,29,57,74,0.62,100,0.40,4.75
5,3,4,3,3,3,4,30,61,81,0.67,100,0.40,3.90
3,5,2,4,2,4,5,31,62,85,0.72,200,0.25,5.10
3,4,3,3,3,4,5,29,57,74,0.62,200,0.25,4.35
4,5,3,3,3,5,5,32,66,92,0.78,200,0.30,6.30
4,5,1,4,2,3,4,33,68,62,0.80,200,0.30,5.60
5,5,2,4,2,4,5,31,62,85,0.72,200,0.35,6.95
5,4,3,3,3,4,5,29,57,74,0.62,200,0.35,5.85
2,3,4,3,3,3,4,30,61,81,0.67,200,0.20,3.15
2,5,1,4,1,3,4,33,68,60,0.82,200,0.20,3.85
1,2,4,3,3,2,3,32,72,115,0.90,200,0.15,1.95
1,5,2,4,2,4,5,31,62,85,0.72,200,0.15,3.90
3,5,3,3,3,5,5,32,66,92,0.78,300,0.30,7.05
4,5,2,4,2,4,5,31,62,85,0.72,300,0.35,7.80
5,5,3,3,3,5,5,32,66,92,0.78,300,0.40,8.95
5,5,1,4,1,3,4,33,68,60,0.82,300,0.40,8.10
3,4,3,3,3,4,5,29,57,74,0.62,300,0.25,5.40
4,4,3,3,3,4,5,29,57,74,0.62,300,0.30,6.00
2,5,2,4,2,4,5,31,62,85,0.72,300,0.20,5.05
1,3,4,3,3,3,4,30,60,75,0.68,300,0.15,3.10
